Hang,Model,Gas,KhoiLuong
Toyota,Vios (2008-2024),R134a,400-550
Toyota,Innova (2007-2023),R134a,650-850
Toyota,Fortuner (2010-2024),R134a,650-850
Toyota,Camry (2012-2024),R134a,500-650
Toyota,Corolla Altis (2011-2023),R134a,450-550
Toyota,Hilux (2009-2023),R134a,650-850
Toyota,Yaris (2007-2023),R134a,450-550
Toyota,Land Cruiser (2008-2023),R134a,650-950
Toyota,Prado (2011-2023),R134a,650-850
Toyota,Raize (2021-2024),R134a,350-450
Toyota,Cross (2020-2024),R134a,400-500
Honda,City (2014-2024),R134a,400-500
Honda,Civic (2012-2023),R134a,420-520
Honda,CR-V (2013-2024),R134a,500-600
Honda,Accord (2013-2023),R134a,500-600
Honda,Brio (2019-2023),R134a,350-450
Hyundai,i10 (2014-2024),R134a,350-450
Hyundai,Accent (2011-2024),R134a,450-550
Hyundai,Elantra (2011-2023),R134a,450-550
Hyundai,SantaFe (2013-2024),R134a,550-650
Hyundai,Tucson (2010-2024),R134a,500-600
Hyundai,Kona (2018-2022),R134a,450-550
Hyundai,Creta (2022-2024),R134a,450-550
Kia,Morning (2008-2024),R134a,350-450
Kia,Cerato/K3 (2013-2024),R134a,450-550
Kia,Seltos (2020-2024),R134a,450-550
Kia,Sorento (2011-2024),R134a,550-650
Kia,Soluto (2019-2023),R134a,400-500
Kia,Carnival (2016-2024),R134a,650-850
Mazda,Mazda 2 (2011-2024),R134a,400-500
Mazda,Mazda 3 (2010-2024),R134a,450-550
Mazda,Mazda 6 (2013-2024),R134a,500-600
Mazda,CX-5 (2012-2024),R134a,450-550
Mazda,CX-8 (2019-2024),R134a,500-600
Mazda,BT-50 (2012-2023),R134a,600-750
Ford,Ranger (2012-2024),R134a,600-800
Ford,Everest (2009-2024),R134a,650-850
Ford,EcoSport (2014-2022),R134a,450-550
Ford,Transit (2012-2023),R134a,850-1100
Ford,Explorer (2016-2023),R134a,750-950
Mitsubishi,Xpander (2018-2024),R134a,470-550
Mitsubishi,Triton (2009-2023),R134a,500-600
Mitsubishi,Outlander (2014-2024),R134a,480-550
Mitsubishi,Pajero Sport (2011-2023),R134a,550-700
Mitsubishi,Attrage (2014-2023),R134a,350-450
Suzuki,Swift (2013-2023),R134a,350-450
Suzuki,Ertiga (2012-2023),R134a,450-550
Suzuki,XL7 (2020-2024),R134a,450-550
Suzuki,Carry Truck (2010-2023),R134a,300-400
VinFast,Fadil (2019-2022),R134a,380-450
VinFast,Lux A2.0 (2019-2022),R134a,550-650
VinFast,Lux SA2.0 (2019-2022),R134a,650-750
Isuzu,D-Max (2012-2023),R134a,450-600
Isuzu,MU-X (2016-2023),R134a,500-650
Chevrolet,Cruze (2010-2018),R134a,500-600
Chevrolet,Captiva (2008-2018),R134a,650-750
Chevrolet,Colorado (2013-2020),R134a,550-650
Nissan,Navara (2010-2023),R134a,500-650
Nissan,Sunny (2013-2020),R134a,400-500
Nissan,X-Trail (2016-2021),R134a,450-550
Lexus,RX350 (2009-2022),R134a,550-650
Lexus,GX460 (2010-2022),R134a,650-800
Lexus,LX570 (2008-2021),R134a,850-1000
BMW,3 Series (2012-2022),R134a,500-600
BMW,5 Series (2011-2022),R134a,600-750
Mercedes,C-Class (2011-2022),R134a,550-650
Mercedes,E-Class (2010-2022),R134a,600-750
Mercedes,GLC (2016-2023),R134a,550-650
Audi,A4 (2008-2022),R134a,650-850
Audi,A6 (2008-2022),R134a,650-850
Audi,Q3 (2008-2022),R134a,650-850
Audi,Q5 (2008-2022),R134a,650-850
Audi,Q7 (2008-2022),R134a,650-850
Volkswagen,Polo (2008-2022),R134a,650-850
Volkswagen,Golf (2008-2022),R134a,650-850
Volkswagen,Tiguan (2008-2022),R134a,650-850
Volkswagen,Touareg (2008-2022),R134a,650-850
Chevrolet,Spark (2008-2022),R134a,350-450
Chevrolet,Aveo (2008-2022),R134a,450-550
Chevrolet,Cruze (2010-2018),R134a,500-600
Chevrolet,Captiva (2008-2018),R134a,650-750
Chevrolet,Orlando (2011-2018),R134a,600-700
Subaru,Forester (2012-2022),R134a,450-550
Subaru,Outback (2012-2022),R134a,450-550
Peugeot,3008 (2017-2022),R134a,450-550
Peugeot,5008 (2017-2022),R134a,500-600
Porsche,Cayenne (2010-2022),R134a,750-950
Porsche,Macan (2014-2022),R134a,550-650
Land Rover,Range Rover (2010-2022),R134a,750-950
Land Rover,Discovery (2010-2022),R134a,650-850
Volvo,XC60 (2015-2022),R134a,550-650
Volvo,XC90 (2015-2022),R134a,650-850
Hang,Model,Gas,KhoiLuong
Toyota,Vios (2008-2024),R134a,400-550
Toyota,Innova (2007-2023),R134a,650-850
Toyota,Fortuner (2010-2024),R134a,650-850
Toyota,Camry (2012-2024),R134a,500-650
Toyota,Corolla Altis (2011-2023),R134a,450-550
Toyota,Hilux (2009-2023),R134a,650-850
Toyota,Cross (2020-2024),R134a,400-500
Toyota,Raize (2021-2024),R134a,350-450
Hyundai,i10 (2014-2024),R134a,350-450
Hyundai,Accent (2011-2024),R134a,450-550
Hyundai,Elantra (2011-2023),R134a,450-550
Hyundai,SantaFe (2013-2024),R134a,550-650
Hyundai,Tucson (2010-2024),R134a,500-600
Hyundai,Kona (2018-2022),R134a,450-550
Hyundai,Creta (2022-2024),R134a,450-550
Hyundai,Starex (2007-2021),R134a,650-850
Kia,Morning (2008-2024),R134a,350-450
Kia,Cerato/K3 (2013-2024),R134a,450-550
Kia,Seltos (2020-2024),R134a,450-550
Kia,Sorento (2011-2024),R134a,550-650
Kia,Soluto (2019-2023),R134a,400-500
Kia,Carnival (2016-2024),R134a,650-850
Kia,Sonet (2021-2024),R134a,400-500
Honda,City (2014-2024),R134a,400-500
Honda,Civic (2012-2023),R134a,420-520
Honda,CR-V (2013-2024),R134a,500-600
Honda,Accord (2013-2023),R134a,500-600
Mazda,Mazda 2 (2011-2024),R134a,400-500
